Tower says: Baloon_B1 registered to weather tower.
Tower says: Baloon_B2 registered to weather tower.
Tower says: JetPlane_J1 registered to weather tower.
Tower says: Helicopter_H1 registered to weather tower.
Tower says: Helicopter_H2 registered to weather tower.
Tower says: Helicopter_H3 registered to weather tower.
Tower says: Baloon_B3 registered to weather tower.
Tower says: JetPlane_J2 registered to weather tower.
Tower says: Helicopter_H4 registered to weather tower.
Baloon_B1: SNOW - {2, 3, 5}
Baloon_B2: SNOW - {1, 8, 51}
JetPlane_J1: SUN - {23, 54, 34}
Helicopter_H1: RAIN - {659, 33, 20}
Helicopter_H2: FOG - {23, 33, 44}
Helicopter_H3: SUN - {108, 68, 100}
Baloon_B3: SUN - {104, 22, 38}
JetPlane_J2: SUN - {11, 109, 100}
Helicopter_H4: SUN - {233, 23, 56}
Tower says: Baloon_B1 unregistered from weather tower.
JetPlane_J1: SNOW - {23, 54, 27}
Helicopter_H1: SUN - {669, 33, 22}
Helicopter_H2: RAIN - {28, 33, 44}
Helicopter_H3: FOG - {109, 68, 100}
Baloon_B3: SNOW - {104, 22, 23}
JetPlane_J2: RAIN - {11, 114, 100}
Helicopter_H4: SUN - {243, 23, 58}
Baloon_B2: SNOW - {1, 8, 36}
JetPlane_J1: RAIN - {23, 59, 27}
Helicopter_H1: SUN - {679, 33, 24}
Helicopter_H2: SNOW - {28, 33, 32}
Helicopter_H3: SUN - {119, 68, 100}
Baloon_B3: RAIN - {104, 22, 18}
JetPlane_J2: FOG - {11, 115, 100}
Helicopter_H4: FOG - {244, 23, 58}
Baloon_B2: FOG - {1, 8, 33}
JetPlane_J1: FOG - {23, 60, 27}
Helicopter_H1: SNOW - {679, 33, 12}
Helicopter_H2: SNOW - {28, 33, 20}
Helicopter_H3: SNOW - {119, 68, 88}
Baloon_B3: FOG - {104, 22, 15}
JetPlane_J2: RAIN - {11, 120, 100}
Helicopter_H4: SNOW - {244, 23, 46}
Baloon_B2: SUN - {3, 8, 37}
JetPlane_J1: SUN - {23, 70, 29}
Tower says: Helicopter_H1 unregistered from weather tower.
Helicopter_H3: RAIN - {124, 68, 88}
Baloon_B3: RAIN - {104, 22, 10}
JetPlane_J2: RAIN - {11, 125, 100}
Helicopter_H4: RAIN - {249, 23, 46}
Baloon_B2: SNOW - {3, 8, 22}
JetPlane_J1: SUN - {23, 80, 31}
Helicopter_H2: SNOW - {28, 33, 8}
Helicopter_H3: FOG - {125, 68, 88}
Tower says: Baloon_B3 unregistered from weather tower.
Helicopter_H4: SUN - {259, 23, 48}
Baloon_B2: FOG - {3, 8, 19}
JetPlane_J1: SNOW - {23, 80, 24}
Helicopter_H2: RAIN - {33, 33, 8}
Helicopter_H3: SNOW - {125, 68, 76}
JetPlane_J2: SNOW - {11, 125, 93}
Helicopter_H4: RAIN - {264, 23, 48}
Baloon_B2: RAIN - {3, 8, 14}
JetPlane_J1: RAIN - {23, 85, 24}
Tower says: Helicopter_H2 unregistered from weather tower.
JetPlane_J2: SUN - {11, 135, 95}
Helicopter_H4: FOG - {265, 23, 48}
Baloon_B2: SUN - {5, 8, 18}
JetPlane_J1: RAIN - {23, 90, 24}
Helicopter_H3: RAIN - {130, 68, 76}
JetPlane_J2: FOG - {11, 136, 95}
Helicopter_H4: FOG - {266, 23, 48}
Baloon_B2: SUN - {7, 8, 22}
JetPlane_J1: SNOW - {23, 90, 17}
Helicopter_H3: FOG - {131, 68, 76}
JetPlane_J2: RAIN - {11, 141, 95}
Helicopter_H4: SNOW - {266, 23, 36}
Baloon_B2: SNOW - {7, 8, 7}
JetPlane_J1: FOG - {23, 91, 17}
